table_size,num_elements,load_factor,failure_rate
100,168,0.76,0.1012
350,603,0.77,0.1012
600,1047,0.79,0.1003
850,1451,0.77,0.1006
1100,1885,0.77,0.1003
1350,2263,0.75,0.1003
1600,2719,0.76,0.1
1850,3159,0.77,0.1
2100,3609,0.77,0.1
2350,4017,0.77,0.1001
2600,4397,0.76,0.1001
2850,4728,0.75,0.1
3100,5228,0.76,0.1
3350,5719,0.77,0.1
3600,6152,0.77,0.1001
3850,6573,0.77,0.1001
4100,6932,0.76,0.1001
4350,7356,0.76,0.1001
4600,7893,0.77,0.1001
4850,8253,0.77,0.1001
5100,8787,0.78,0.1
5350,9044,0.76,0.1001
5600,9535,0.77,0.1001
5850,9977,0.77,0.1
6100,10438,0.77,0.1
6350,10797,0.77,0.1
6600,11246,0.77,0.1
6850,11641,0.76,0.1001
7100,12087,0.77,0.1
7350,12551,0.77,0.1001
7600,12999,0.77,0.1
7850,13403,0.77,0.1001
8100,13931,0.77,0.1001
8350,14235,0.77,0.1
8600,14702,0.77,0.1001
8850,15081,0.77,0.1001
9100,15557,0.77,0.1
9350,15855,0.76,0.1
9600,16299,0.76,0.1
9850,16882,0.77,0.1
