table_size,num_searches,avg_search_time_s
100,151,3.223178680024005e-06
350,542,2.9944644414397075e-06
600,942,1.7487261451250872e-06
850,1305,1.829042111905256e-06
1100,1696,1.8010611350995155e-06
1350,2036,1.7816798367184425e-06
1600,2447,1.8534124674732995e-06
1850,2843,1.7655996294221092e-06
2100,3248,1.8096367155862375e-06
2350,3615,3.0181189531390845e-06
2600,3957,1.801667924563685e-06
2850,4255,1.7863454392396535e-06
3100,4705,1.7693518155217805e-06
3350,5147,1.7833883790159969e-06
3600,5536,1.8485005824850883e-06
3850,5915,1.7944716085582996e-06
4100,6238,1.7909105616624958e-06
4350,6620,1.7511934724993711e-06
4600,7103,1.809179163209472e-06
4850,7427,1.8110812811091415e-06
5100,7908,2.3117476009509865e-06
5350,8139,1.7391694719957066e-06
5600,8581,1.8402517307278383e-06
5850,8979,1.796090941486592e-06
6100,9394,1.7746646353395563e-06
6350,9717,1.7836265752544967e-06
6600,10121,1.765794077296082e-06
6850,10476,1.799541955110384e-06
7100,10878,1.777431461317963e-06
7350,11295,1.8124390859775256e-06
7600,11699,1.8540642583518724e-06
7850,12062,1.7622119080459986e-06
8100,12537,1.7446996488881718e-06
8350,12811,1.7789555819672125e-06
8600,13231,1.7426044813003023e-06
8850,13572,2.5760683873964754e-06
9100,14001,1.8577529701495603e-06
9350,14269,1.7571730267488073e-06
9600,14669,1.75604332793712e-06
9850,15193,1.7390640325675593e-06
