test_case,filter_size,method_name,total_time,cumulative_time,per_call_time
bloom,100,add,5.6100000000000005e-06,3.5213e-05,3.5213e-05
bloom,100,add,2.9850000000000002e-06,2.0595000000000002e-05,2.0595000000000002e-05
bloom,100,add,2.7260000000000002e-06,1.9763e-05,1.9763e-05
bloom,100,add,2.553e-06,1.8294e-05,1.8294e-05
bloom,100,add,2.668e-06,1.8290000000000003e-05,1.8290000000000003e-05
bloom,100,add,2.381e-06,1.7736e-05,1.7736e-05
bloom,100,add,2.459e-06,1.677e-05,1.677e-05
bloom,100,add,2.268e-06,1.7257e-05,1.7257e-05
bloom,100,add,2.554e-06,1.8367000000000002e-05,1.8367000000000002e-05
bloom,100,add,3.3070000000000003e-06,1.8266e-05,1.8266e-05
bloom,100,add,2.4900000000000003e-06,1.7522000000000003e-05,1.7522000000000003e-05
bloom,100,add,2.222e-06,1.6364e-05,1.6364e-05
bloom,100,add,2.359e-06,1.7339e-05,1.7339e-05
bloom,100,add,2.544e-06,1.7806000000000002e-05,1.7806000000000002e-05
bloom,100,add,2.4500000000000003e-06,1.6911e-05,1.6911e-05
bloom,100,add,2.384e-06,1.6738e-05,1.6738e-05
bloom,100,add,2.283e-06,1.6274e-05,1.6274e-05
bloom,100,add,2.21e-06,1.7215e-05,1.7215e-05
bloom,100,add,2.345e-06,1.8373000000000002e-05,1.8373000000000002e-05
bloom,100,add,2.1630000000000003e-06,1.6326000000000003e-05,1.6326000000000003e-05
bloom,100,add,2.336e-06,1.7364000000000002e-05,1.7364000000000002e-05
bloom,100,add,2.255e-06,1.7474000000000002e-05,1.7474000000000002e-05
bloom,100,add,2.034e-06,1.6252e-05,1.6252e-05
bloom,100,add,2.148e-06,1.6448000000000002e-05,1.6448000000000002e-05
bloom,100,add,2.466e-06,1.9604e-05,1.9604e-05
bloom,100,add,2.386e-06,1.6545e-05,1.6545e-05
bloom,100,add,2.3650000000000002e-06,1.6634e-05,1.6634e-05
bloom,100,add,2.296e-06,3.456e-05,3.456e-05
bloom,100,add,2.324e-06,1.6892e-05,1.6892e-05
bloom,100,add,2.8220000000000003e-06,1.8282000000000002e-05,1.8282000000000002e-05
bloom,100,add,3.1150000000000002e-06,1.8143000000000002e-05,1.8143000000000002e-05
bloom,100,add,2.2750000000000002e-06,1.6393e-05,1.6393e-05
bloom,100,add,2.37e-06,1.6929e-05,1.6929e-05
bloom,100,add,2.404e-06,1.6629e-05,1.6629e-05
bloom,100,add,2.2140000000000003e-06,1.6255e-05,1.6255e-05
bloom,100,add,2.3890000000000003e-06,1.7229e-05,1.7229e-05
bloom,100,add,2.347e-06,1.7041e-05,1.7041e-05
bloom,100,add,2.243e-06,1.6684e-05,1.6684e-05
bloom,100,add,2.7440000000000003e-06,1.7465e-05,1.7465e-05
bloom,100,add,3.209e-06,2.3144e-05,2.3144e-05
bloom,100,add,2.381e-06,1.7236000000000002e-05,1.7236000000000002e-05
bloom,100,add,2.221e-06,1.6689000000000002e-05,1.6689000000000002e-05
bloom,100,add,2.3030000000000002e-06,1.6865000000000002e-05,1.6865000000000002e-05
bloom,100,add,2.655e-06,1.7781e-05,1.7781e-05
bloom,100,add,2.2410000000000002e-06,1.6122000000000003e-05,1.6122000000000003e-05
bloom,100,add,2.2590000000000003e-06,1.6672000000000002e-05,1.6672000000000002e-05
bloom,100,add,2.2410000000000002e-06,1.7042e-05,1.7042e-05
bloom,100,add,2.51e-06,1.6812e-05,1.6812e-05
bloom,100,add,2.201e-06,1.641e-05,1.641e-05
bloom,100,add,2.2470000000000003e-06,1.6542000000000002e-05,1.6542000000000002e-05
bloom,100,add,2.261e-06,1.6720000000000003e-05,1.6720000000000003e-05
